[ 2025-02-22 18:24:40,918] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-02-22 18:24:42,953] 16 root - INFO - initiate the data ingestion
[ 2025-02-22 18:24:45,689] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-22 18:24:45,689] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-22 18:24:45,690] 75 root - INFO - Exporting train and test file path.
[ 2025-02-22 18:24:45,753] 84 root - INFO - Exported train and test file path.
[ 2025-02-22 18:24:45,754] 18 root - INFO - Data Initiation Completed
[ 2025-02-22 18:24:45,761] 22 root - INFO - Initiate the data validation
[ 2025-02-22 18:24:45,849] 32 root - INFO - Required number of columns:2
[ 2025-02-22 18:24:45,850] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 18:24:45,850] 32 root - INFO - Required number of columns:2
[ 2025-02-22 18:24:45,850] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 18:24:46,015] 24 root - INFO - data validation completed
