[ 2025-02-22 18:21:02,308] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-02-22 18:21:04,920] 16 root - INFO - initiate the data ingestion
[ 2025-02-22 18:21:09,622] 75 root - INFO - Performed train test split on dataframe
[ 2025-02-22 18:21:09,622] 76 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-22 18:21:09,623] 81 root - INFO - Exporting train and test file path
[ 2025-02-22 18:21:09,700] 90 root - INFO - Exported train and test file path
[ 2025-02-22 18:21:09,701] 18 root - INFO - Data Initiation Completed
[ 2025-02-22 18:21:09,711] 22 root - INFO - Initiate the data validation
[ 2025-02-22 18:21:09,793] 32 root - INFO - Required number of columns:2
[ 2025-02-22 18:21:09,794] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 18:21:09,794] 32 root - INFO - Required number of columns:2
[ 2025-02-22 18:21:09,794] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 18:21:10,015] 24 root - INFO - data validation completed
