[ 2025-02-22 21:13:21,400] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-02-22 21:13:26,849] 17 root - INFO - initiate the data ingestion
[ 2025-02-22 21:13:36,428] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-22 21:13:36,428] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-22 21:13:36,428] 75 root - INFO - Exporting train and test file path.
[ 2025-02-22 21:13:36,500] 84 root - INFO - Exported train and test file path.
[ 2025-02-22 21:13:36,501] 19 root - INFO - Data Initiation Completed
[ 2025-02-22 21:13:36,508] 23 root - INFO - Initiate the data validation
[ 2025-02-22 21:13:36,611] 32 root - INFO - Required number of columns:2
[ 2025-02-22 21:13:36,611] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 21:13:36,611] 32 root - INFO - Required number of columns:2
[ 2025-02-22 21:13:36,611] 33 root - INFO - Data frame has columns:31
[ 2025-02-22 21:13:36,822] 25 root - INFO - data validation completed
